,230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455
290,29337.517,17692.238,9169.6562,7865.9766,6294.0234,6817.2851,60582.898,184539.35,66328.41,12874.629,12271.164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,30612.244,24229.836,12734.859,9010.5859,6765.3906,8218.2344,17134.469,149804.8,205518.97,37283.865,16309.748,14850.516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,30731.407,30285.984,15623.473,10450.711,10489.887,11607.973,14077.301,53289.406,264171.65,163723.76,25887.594,17130.916,17018.351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,50539.543,31593.523,23203.211,14370.094,13436.414,13469.824,17331.394,24593.516,142383.61,332388.7,100560.29,21865.088,17318.092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,72350.01,31980.637,30426.555,19337.336,15882.66,18582.898,21012.492,26693.887,50761.635,277888.16,311462.88,66070.402,19460.578,17274.533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,72409.317,49271.726,31659.793,21974.531,21523.961,23143.73,25858.777,31207.16,38352.723,109538.37,407945.6,241869.89,36701.652,16844.16,22082.947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,93547.285,58608.058,40035.933,27253.195,23698.266,26540.211,31517.144,35611.457,43213.922,50977.744,224846.82,428773.5,146014.04,22891.814,17128.982,25186.466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,106666.67,70872.945,45777.332,32983.406,29022.219,32985.598,39313.828,43009.516,49315.822,50907.756,80635.945,346892.14,370409.92,74525.203,20127.318,19609.369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,102396.07,71768.266,50650.238,38455.094,34133.969,39351.906,45102.707,51649.137,58532.353,57874.512,60419.814,155302.92,454485.7,262233.17,30581.141,20157.294,21382.957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,131605.86,89525.125,56667.187,41054.195,42186.668,44775.391,52414.547,58539.637,66912.176,65324.824,68542.264,73688.305,281959.08,488899.05,137755.74,25443.563,21981.898,22825.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,122374.06,99322.016,71111.281,53869.453,51956.742,53042.883,60367.148,68997.285,76382.439,76921.051,77151.801,67740.129,113544.13,427107.3,437852.78,79710.748,25343.812,22828.635,25742.088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334,162690.54,120945.1,89523.062,68536.812,59882.996,65086.004,70240.937,75255.914,83729.328,84882.035,86226.842,77663.232,72726.836,188570.26,564309.47,298563.09,48446.195,26554.356,24289.371,27451.687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,156399.4,119747.53,88029.891,74676.734,75971.898,71504.117,78423.57,85311.75,94773.629,94924.088,98804.894,88787.252,79101.746,81287.445,322885.27,540194.46,173459.29,35465.9,28646.1,26965.891,30831.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342,165757.16,150532.05,106765.03,91667.914,85252.277,84731.211,86477.332,96772.133,104676.8,107057.15,108857.42,99579.648,90167.668,74542.16,117277.4,482250.32,425819.49,87710.852,34301.072,30579.872,30263.977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346,175223.29,155492.03,123345.95,103240.39,94047.945,101317.47,101721.62,109737.05,115178.88,118014.87,121993.04,113197.31,102692.49,85455.728,80756.68,248653.37,569533.44,275507.63,47613.656,37360.548,33361.748,32976.691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,172142.9,166760.51,136280.21,129212.4,118947.61,118122.22,118634.53,122598.25,129781.62,129716.46,136896.4,127155.49,118127.04,99822.17,89705.862,118695.8,423927.39,553019.38,141614.68,47679.752,41488.706,35016.204,36334.307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
354,183718.07,183648.77,155601.66,151887.27,138568.71,136046.39,134613.79,138600.8,145106.08,143703.22,150722.48,142069.21,134426.53,114862.1,106538.34,100197.65,206692.34,585497.77,430192.33,91483.9,52159.932,43167.579,35724.056,39545.129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358,201475.21,185873.6,185094.98,175394.55,166390.46,156439.53,157293.3,154096.42,162796.83,161796.23,166586.8,158871.01,150682.82,131105.98,122832.29,113787.75,124842.97,345031.17,671161.21,269934.7,74147.434,53494.26,44171.82,38532.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
