Long Name	Sample - Blank	S1c/R1c
nm	nm	
		Z of Sample - Blank
600	211.124	9.50741769350719
600	212.698	-4.31995108912409
600	214.273	-23.3524129633094
600	215.848	-105.559676290638
600	217.424	11.2600752111961
600	219.001	-8.6302877307004
600	220.579	-67.4899453184931
600	222.157	-27.6862515877803
600	223.736	33.7535188348446
600	225.315	-25.9581643249357
600	226.896	3.4567086616641
600	228.477	-25.0767612743299
600	230.058	-18.1740266704992
600	231.641	6.91608800320259
600	233.224	-38.0740040599435
600	234.808	-52.7929244767033
600	236.392	-77.8397741364401
600	237.977	8.64684594592158
600	239.563	8.66821138491665
600	241.15	45.8362421394101
600	242.737	15.5778897564207
600	244.325	36.3357682135763
600	245.913	-10.3642504892687
600	247.503	-8.63402668252454
600	249.093	-49.3009628406973
600	250.683	18.6491891159325
600	252.274	9.07815202644396
600	253.866	3.36334689289781
600	255.459	-9.43462136768131
600	257.052	19.3089122417211
600	258.646	23.2614453106371
600	260.241	-53.9292122538162
600	261.836	-59.4778995369816
600	263.432	-27.2200753622854
600	265.028	80.101314927716
600	266.625	57.9502593216226
600	268.223	-35.2250061400381
600	269.822	-3.64997315584133
600	271.421	23.475447772389
600	273.021	5.36333247383207
600	274.621	25.6594179482292
600	276.222	-14.0422925692146
600	277.824	-27.9807226005058
600	279.426	-7.78707114561107
600	281.029	-30.162168025358
600	282.633	-18.9229207222516
600	284.237	26.5332269246181
600	285.842	-7.64863320080456
600	287.448	-28.6608958203425
600	289.054	-21.8146083827562
600	290.661	-36.6729525679358
600	292.268	-30.7551733669532
600	293.876	-18.2627684628293
600	295.485	-47.2976463558579
600	297.094	-93.7352850613423
600	298.704	-76.2321076726886
600	300.315	-129.426563777226
600	301.926	-33.8226444779863
600	303.538	-40.4938497475263
600	305.15	22.4212350764621
600	306.763	50.5383297332266
600	308.377	-2.48207839805882
600	309.991	-7.47694649179176
600	311.606	7.50068962168583
600	313.221	50.7610769910251
600	314.837	-53.3556584777646
600	316.454	-52.38744189052
