EX	EM	
nm	nm	
		Z of Processed Data: RM
595	357.059	0
595	358.69	0
595	360.322	0
595	361.955	0
595	363.588	0
595	365.222	0
595	366.856	0
595	368.491	0
595	370.126	0
595	371.762	0
595	373.398	0
595	375.035	0
595	376.672	0
595	378.31	0
595	379.949	0
595	381.588	0
595	383.227	0
595	384.867	0
595	386.508	0
595	388.149	0
595	389.79	0
595	391.432	0
595	393.075	0
595	394.718	0
595	396.361	0
595	398.005	0
595	399.65	0
595	401.295	0
595	402.941	0
595	404.587	0
595	406.233	0
595	407.88	0
595	409.527	0
595	411.175	0
595	412.824	0
595	414.473	0
595	416.122	0
595	417.772	0
595	419.422	0
595	421.073	0
595	422.724	0
595	424.376	0
595	426.028	0
595	427.681	0
595	429.334	0
595	430.987	0
595	432.641	0
595	434.295	0
595	435.95	0
595	437.606	0
595	439.261	0
595	440.918	0
595	442.574	0
595	444.231	0
595	445.889	0
595	447.547	0
595	449.205	0
595	450.864	0
595	452.523	0
595	454.182	0
595	455.842	0
595	457.503	0
595	459.164	0
595	460.825	0
595	462.487	0
595	464.149	0
595	465.811	0
595	467.474	0
595	469.137	0
595	470.801	0
595	472.465	0
595	474.13	0
595	475.794	0
595	477.46	0
595	479.125	0
595	480.791	0
595	482.458	0
595	484.124	0
595	485.792	0
595	487.459	0
595	489.127	0
595	490.795	0
595	492.464	0
595	494.133	0
595	495.802	0
595	497.472	0
595	499.142	0
595	500.812	0
595	502.483	0
595	504.154	0
595	505.825	0
595	507.497	0
595	509.169	0
595	510.842	0
595	512.514	0
595	514.187	0
595	515.861	0
595	517.535	0
595	519.209	0
595	520.883	0
595	522.558	0
595	524.233	0
595	525.908	0
595	527.584	0
595	529.26	0
595	530.936	0
595	532.613	0
595	534.29	0
595	535.967	0
595	537.644	0
595	539.322	0
595	541	0
595	542.678	0
595	544.357	0
595	546.036	0
595	547.715	0
595	549.395	0
595	551.074	0
595	552.754	0
595	554.435	0
595	556.115	0
595	557.796	0
595	559.477	0
595	561.159	0
595	562.84	0
595	564.522	0
595	566.204	0
595	567.886	0
595	569.569	0
595	571.252	0
595	572.935	0
595	574.618	0
595	576.302	0
595	577.986	0
595	579.67	0
595	581.354	0
595	583.038	0
595	584.723	0
595	586.408	0
595	588.093	0
595	589.778	0
595	591.464	0
595	593.15	0
595	594.835	0
595	596.522	0
595	598.208	0
595	599.894	0
595	601.581	0
595	603.268	0
595	604.955	0
595	606.643	-2.53525236239506
595	608.33	-20.0828301110063
595	610.018	-3.68530883594048
595	611.705	17.1286755698647
595	613.394	50.9813632005533
595	615.082	41.2148770379285
595	616.77	49.3431325873184
595	618.459	-33.8242493919741
595	620.147	77.0653330141185
590	211.124	0
590	212.698	0
590	214.273	0
590	215.848	0
590	217.424	0
590	219.001	0
590	220.579	0
590	222.157	0
590	223.736	0
590	225.315	0
590	226.896	0
590	228.477	0
590	230.058	0
590	231.641	0
590	233.224	0
590	234.808	0
590	236.392	0
590	237.977	0
590	239.563	0
590	241.15	0
590	242.737	0
590	244.325	0
590	245.913	0
590	247.503	0
590	249.093	0
590	250.683	0
590	252.274	0
590	253.866	0
590	255.459	0
590	257.052	0
590	258.646	0
590	260.241	0
590	261.836	0
590	263.432	0
590	265.028	0
590	266.625	0
590	268.223	0
590	269.822	0
590	271.421	0
590	273.021	0
590	274.621	0
590	276.222	0
590	277.824	0
590	279.426	0
590	281.029	0
590	282.633	0
590	284.237	0
590	285.842	0
590	287.448	0
590	289.054	0
590	290.661	0
590	292.268	0
590	293.876	0
590	295.485	0
590	297.094	0
590	298.704	0
590	300.315	0
590	301.926	0
590	303.538	0
590	305.15	0
590	306.763	0
590	308.377	0
590	309.991	0
590	311.606	0
590	313.221	0
590	314.837	0
590	316.454	0
590	318.071	0
590	319.689	0
590	321.307	0
590	322.926	0
590	324.546	0
590	326.166	0
590	327.787	0
590	329.408	0
590	331.03	0
590	332.653	0
590	334.276	0
590	335.9	0
590	337.524	0
590	339.149	0
590	340.774	0
590	342.4	0
590	344.026	0
590	345.653	0
590	347.281	0
590	348.909	0
590	350.538	0
590	352.167	0
590	353.797	0
590	355.428	0
590	357.059	0
590	358.69	0
590	360.322	0
590	361.955	0
590	363.588	0
590	365.222	0
590	366.856	0
590	368.491	0
590	370.126	0
590	371.762	0
590	373.398	0
590	375.035	0
590	376.672	0
590	378.31	0
590	379.949	0
590	381.588	0
590	383.227	0
590	384.867	0
590	386.508	0
590	388.149	0
590	389.79	0
590	391.432	0
590	393.075	0
590	394.718	0
590	396.361	0
590	398.005	0
590	399.65	0
590	401.295	0
590	402.941	0
590	404.587	0
590	406.233	0
590	407.88	0
590	409.527	0
590	411.175	0
590	412.824	0
590	414.473	0
590	416.122	0
590	417.772	0
590	419.422	0
590	421.073	0
590	422.724	0
590	424.376	0
590	426.028	0
590	427.681	0
590	429.334	0
590	430.987	0
590	432.641	0
590	434.295	0
590	435.95	0
590	437.606	0
590	439.261	0
590	440.918	0
590	442.574	0
590	444.231	0
590	445.889	0
590	447.547	0
590	449.205	0
590	450.864	0
590	452.523	0
590	454.182	0
590	455.842	0
590	457.503	0
590	459.164	0
590	460.825	0
590	462.487	0
590	464.149	0
590	465.811	0
590	467.474	0
590	469.137	0
590	470.801	0
590	472.465	0
590	474.13	0
590	475.794	0
590	477.46	0
590	479.125	0
590	480.791	0
590	482.458	0
590	484.124	0
590	485.792	0
590	487.459	0
590	489.127	0
590	490.795	0
590	492.464	0
590	494.133	0
590	495.802	0
590	497.472	0
590	499.142	0
590	500.812	0
590	502.483	0
590	504.154	0
590	505.825	0
590	507.497	0
590	509.169	0
590	510.842	0
590	512.514	0
590	514.187	0
590	515.861	0
590	517.535	0
590	519.209	0
590	520.883	0
590	522.558	0
590	524.233	0
590	525.908	0
590	527.584	0
590	529.26	0
590	530.936	0
590	532.613	0
590	534.29	0
590	535.967	0
590	537.644	0
590	539.322	0
590	541	0
590	542.678	0
590	544.357	0
590	546.036	0
590	547.715	0
590	549.395	0
590	551.074	0
590	552.754	0
590	554.435	0
590	556.115	0
590	557.796	0
590	559.477	0
590	561.159	0
590	562.84	0
590	564.522	0
590	566.204	0
590	567.886	0
590	569.569	0
590	571.252	0
590	572.935	0
590	574.618	0
590	576.302	0
590	577.986	0
590	579.67	0
590	581.354	0
590	583.038	0
590	584.723	0
590	586.408	0
590	588.093	0
590	589.778	0
590	591.464	0
590	593.15	0
590	594.835	0
590	596.522	0
590	598.208	0
590	599.894	0
590	601.581	-15.386236660324
590	603.268	2.01115886627443
590	604.955	13.1944340445054
590	606.643	21.6687862029597
590	608.33	16.2573431776881
590	610.018	15.4891273368521
590	611.705	32.4504786915312
590	613.394	41.790622143391
590	615.082	57.0994055562277
590	616.77	57.8646387864315
590	618.459	3.1325241559833
590	620.147	46.6486207147477
585	211.124	0
585	212.698	0
585	214.273	0
585	215.848	0
585	217.424	0
585	219.001	0
585	220.579	0
585	222.157	0
585	223.736	0
585	225.315	0
585	226.896	0
585	228.477	0
585	230.058	0
585	231.641	0
585	233.224	0
585	234.808	0
585	236.392	0
585	237.977	0
585	239.563	0
585	241.15	0
585	242.737	0
585	244.325	0
585	245.913	0
585	247.503	0
585	249.093	0
585	250.683	0
585	252.274	0
585	253.866	0
585	255.459	0
585	257.052	0
585	258.646	0
585	260.241	0
585	261.836	0
585	263.432	0
585	265.028	0
585	266.625	0
585	268.223	0
585	269.822	0
585	271.421	0
585	273.021	0
585	274.621	0
585	276.222	0
585	277.824	0
585	279.426	0
585	281.029	0
585	282.633	0
585	284.237	0
585	285.842	0
585	287.448	0
585	289.054	0
585	290.661	0
585	292.268	0
585	293.876	0
585	295.485	0
585	297.094	0
585	298.704	0
585	300.315	0
585	301.926	0
585	303.538	0
585	305.15	0
585	306.763	0
585	308.377	0
585	309.991	0
585	311.606	0
585	313.221	0
585	314.837	0
585	316.454	0
585	318.071	0
585	319.689	0
585	321.307	0
585	322.926	0
585	324.546	0
585	326.166	0
585	327.787	0
585	329.408	0
585	331.03	0
585	332.653	0
585	334.276	0
585	335.9	0
585	337.524	0
585	339.149	0
585	340.774	0
585	342.4	0
585	344.026	0
585	345.653	0
585	347.281	0
585	348.909	0
585	350.538	0
585	352.167	0
585	353.797	0
585	355.428	0
585	357.059	0
585	358.69	0
585	360.322	0
