Long Name	Sample - Blank	S1c/R1c
nm	nm	
		Z of Sample - Blank
600	211.124	1.72069729351439
600	212.698	-47.5853499383894
600	214.273	-59.6945264903623
600	215.848	-17.2919509002023
600	217.424	-38.9297076827393
600	219.001	-44.9755283909022
600	220.579	21.6404544957135
600	222.157	-25.9538878199307
600	223.736	-20.7639195698975
600	225.315	4.32916998441328
600	226.896	21.6283147864194
600	228.477	-35.4608863450832
600	230.058	13.8438120302323
600	231.641	19.8959274024737
600	233.224	25.9610817217346
600	234.808	38.0689094171193
600	236.392	-63.9944712486973
600	237.977	11.2429828600001
600	239.563	-39.7914051860847
600	241.15	38.9139710225433
600	242.737	8.9923772548528E-4
600	244.325	-26.8326708400604
600	245.913	-61.4188207347786
600	247.503	-20.7504310040153
600	249.093	-71.7978579971196
600	250.683	-26.7503623313441
600	252.274	-14.0260694606367
600	253.866	32.0569085867482
600	255.459	18.0462465274671
600	257.052	-0.00410511659510249
600	258.646	-19.6808391026446
600	260.241	-53.0126095960276
600	261.836	29.7298887397468
600	263.432	-41.3051775314826
600	265.028	49.9351862030673
600	266.625	53.2724082110854
600	268.223	-62.1101447755009
600	269.822	-19.2227903923586
600	271.421	14.4457755604169
600	273.021	24.1044258803149
600	274.621	2.64044380094751
600	276.222	12.2774394587207
600	277.824	-22.7317523053841
600	279.426	-28.6239678532125
600	281.029	26.700512020412
600	282.633	20.6688930715144
600	284.237	-54.794424659588
600	285.842	-1.70245341118084
600	287.448	-25.2872727430238
600	289.054	-17.6173104124965
600	290.661	-9.15851023647252
600	292.268	-50.7078035154013
600	293.876	-22.4139742115191
600	295.485	-99.6368208762681
600	297.094	-15.6801785741141
600	298.704	-70.4408633441427
600	300.315	-76.2551931488188
600	301.926	-38.8210227874908
600	303.538	-45.4769677822749
600	305.15	22.4166154038997
600	306.763	31.4793714287029
600	308.377	-6.63131198967565
600	309.991	-28.2510128407963
600	311.606	-61.6383523453531
600	313.221	19.1289565107481
600	314.837	0.850813617651283
600	316.454	-73.1874873448527
