Wavelength	I1	I1 dark	R1	R1dark	XCorrect	I1c	R1c	I1c/R1c	Abs	Percent T
nm	uA	uA	uA	uA		uA	uA	uA/uA	OD	T*100
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp	Dark subtracted Abs Detector	Corrected Ref Detector	Corrected Intensity 	-Log(T)	% Transmittance
600	2.68429887721352	0.00155795574042541	1.58138955056585	0.00334607176588086	0.717130899429321	2.6827409214731	1.13166373929039	2.37061666670994	1.09517585266531E-4	99.9747858233824
595	2.81032968969821		1.65657925729665		0.719892263412476	2.80877173395779	1.19014977988036	2.36001533709491	8.37723475599784E-5	99.9807125643954
590	2.94846978924389		1.73917719275762		0.723316371440887	2.94691183350346	1.25555506786991	2.34709883215476	2.001450178645E-4	99.9539255240909
585	3.06991790887579		1.8117804285515		0.726323843002319	3.06835995313537	1.31350899183796	2.33600224452357	1.24425606573001E-4	99.9713540490481
580	3.16734884598648		1.87041029770199		0.72833788394928	3.16579089024605	1.35985360751571	2.32803801287815	1.19070535814068E-4	99.9725867540391
575	3.27419877964156		1.93474017049182		0.73105776309967	3.27264082390113	1.41196064947849	2.31779888845337	1.56340264386805E-4	99.9640078025248
570	3.3904076048608		2.00402867485362		0.73466420173645	3.38884964912038	1.46982988752546	2.30560670855979	1.29014127257049E-4	99.9702978113529
565	3.51079109437001		2.07705138574348		0.738382756710052	3.50923313862958	1.53118824633907	2.29183651782846	1.49876295437743E-4	99.9654956617496
560	3.64593411873235		2.15740033439703		0.742404222488403	3.64437616299192	1.59917898004651	2.27890449315806	1.31926031170941E-4	99.969627522096
555	3.79977107734616		2.24840258623067		0.747231364250183	3.79821312160574	1.67757664212229	2.26410706148165	1.31985685896154E-4	99.9696137902608
550	3.9609382751885		2.34343780191538		0.752462446689606	3.95938031944807	1.76083114874641	2.24858602840306	1.31871922359752E-4	99.9696399773269
545	4.13393370174333		2.44509302001505		0.757837355136871	4.13237574600291	1.85044704917468	2.23317697625879	1.1301740536237E-4	99.9739801664624
540	4.30786999133152		2.5467153682418		0.763391971588135	4.3063120355911	1.94158770171348	2.21793330880224	1.51618823619245E-4	99.9650945690552
535	4.49575995762177		2.65563505042376		0.769757688045502	4.49420200188134	2.04161983224026	2.20129229296812	9.02186229111159E-5	99.9792285519415
530	4.72345037663384		2.78737111068839		0.776710212230682	4.72189242089341	2.16238067883703	2.18365455588187	8.30430446986628E-5	99.980880460337
525	4.96679560271226		2.92783583913102		0.783903956413269	4.96523764697183	2.29251909912766	2.16584352508173	1.87116693656829E-4	99.9569240693977
520	5.22499920275475		3.07525992911812		0.791250944137573	5.22344124701432	2.43065473993925	2.14898527593634	1.66550305349404E-4	99.9616577274957
515	5.52538964589038		3.24605428512511		0.799825251102448	5.52383169014996	2.59359991100201	2.12979329106156	1.51459994874297E-4	99.9651311279665
510	5.82124119255978		3.41231043924594		0.809457659721375	5.81968323681936	2.75941231897396	2.1090299542416	1.16843900935339E-4	99.9730993164328
505	6.20765737265636		3.62991522475339		0.818737685680389	6.20609941691594	2.96920883527688	2.09015254945421	1.18308172827247E-4	99.9727622466366
500	6.64645647734832		3.87571204139818		0.828416645526886	6.6448985216079	3.20793242681526	2.07139603878899	1.65255928596473E-4	99.9619556549254
495	7.51881398362818		4.37094253990762		0.838614106178284	7.51725602788775	3.66272800827812	2.05236534378148	1.82698065096457E-4	99.9579410631306
490	8.20898470352664		4.75508648978867		0.848338663578033	8.20742674778622	4.03108511589518	2.03603409797106	2.01532808107732E-4	99.9536061213198
485	9.01578976377937		5.20120365597483		0.855348587036133	9.01423180803894	4.44598014026817	2.02750159102043	2.03408160934828E-4	99.9531745066415
480	10.0355034804079		5.76536170059556		0.866066455841064	10.0339455246675	4.99028845416135	2.0106944952852	2.53461770790874E-4	99.9416552976381
475	11.5114139139636		6.58943739554491		0.879869520664215	11.5098559582232	5.7949010161042	1.9862040656496	3.04397048595126E-4	99.9299345466656
470	14.2812336636381		8.12489392749546		0.895019471645355	14.2796757078977	7.26894347077756	1.96447747396916	3.00881533608344E-4	99.9307434600159
465	15.0396717807247		8.51066047868839		0.910354375839233	15.0381138249843	7.74467089698206	1.94173697307711	3.57171193995349E-4	99.9177921025285
460	13.8787810968869		7.83577558392416		0.922647356987	13.8772231411465	7.22657038817981	1.92030553855046	4.09152819001324E-4	99.9058334463735
455	12.3377521674977		6.99126179823617		0.929956316947937	12.3361942117572	6.49845637213088	1.89832684953644	5.01864298165365E-4	99.8845082179859
