Long Name	Sample - Blank	S1c/R1c
nm	nm	
		Z of Sample - Blank
600	211.124	16.6585185371125
600	212.698	-65.8163448576083
600	214.273	-33.2989800153339
600	215.848	60.5966260318001
600	217.424	-30.7470094088749
600	219.001	-4.40305171490127
600	220.579	-8.77636239162893
600	222.157	68.4341706200232
600	223.736	-26.3184653755391
600	225.315	95.6489666015772
600	226.896	2.64013154104513
600	228.477	-101.800067971248
600	230.058	-2.6337584614365
600	231.641	-65.8078474181302
600	233.224	94.8014962725618
600	234.808	-55.2898084513405
600	236.392	6.10861417227973
600	237.977	-7.86409908659246
600	239.563	63.2346332129757
600	241.15	94.7749417741925
600	242.737	-20.1641774660641
600	244.325	-71.9706327670832
600	245.913	-3.52265380790797
600	247.503	-14.0417549546324
600	249.093	-14.9380855606473
600	250.683	45.219705468647
600	252.274	52.712223718447
600	253.866	-59.0617360415339
600	255.459	-55.7126210569046
600	257.052	-8.86885956902368
600	258.646	-16.3495269299353
600	260.241	72.3454264343326
600	261.836	3.74395326431071
600	263.432	-7.64683229395811
600	265.028	-33.4524142163519
600	266.625	6.593193370611
600	268.223	15.0612894287227
600	269.822	-26.0163193204847
600	271.421	25.6066531373334
600	273.021	3.65976845104244
600	274.621	17.0698485643028
600	276.222	-25.8477770593097
600	277.824	-2.66238748845159
600	279.426	-20.2212279524291
600	281.029	37.5597306694283
600	282.633	-41.9132504091294
600	284.237	-14.7714061378824
600	285.842	-12.9223915005364
600	287.448	-3.39627276917535
600	289.054	15.3461953270148
600	290.661	-13.5101548718868
600	292.268	14.3216027128604
600	293.876	37.9016949991205
600	295.485	-30.2898789566275
600	297.094	-54.6375584188486
600	298.704	-25.9299680237118
600	300.315	-68.9165902674115
600	301.926	-51.1108893086138
600	303.538	-19.2494817656742
600	305.15	-7.51573941687922
600	306.763	-30.231884294119
600	308.377	-41.2523415263906
600	309.991	-7.57259873243951
600	311.606	48.9744598287011
600	313.221	22.8131551216178
600	314.837	64.2728552156194
600	316.454	-51.5068432281382
