,0
285,5825.4416
286,5502.4211
287,5530.7876
288,5431.435
289,5875.0569
290,5679.6455
291,7329.3162
292,9680.7317
293,14269.427
294,23528.755
295,41913.21
296,63695.095
297,95213.203
298,138498.02
299,185921.72
300,237295.88
301,275877.2
302,307569.65
303,323650.76
304,316981.17
305,289802.12
306,251323.57
307,207257.03
308,160300.15
309,114509.51
310,76877.907
311,48875.126
312,30811.749
313,19414.489
314,13889.924
315,9761.4993
316,8614.0193
317,7583.915
318,6614.5688
319,6855.6777
320,6640.2424
321,6317.178
322,5933.5591
323,6234.8911
324,6051.6907
325,5917.4355
326,6197.6348
327,6096.081
328,5765.4631
329,6347.2239
330,6018.5229
331,6625.4787
332,6277.2825
333,6567.7768
334,6593.427
335,6232.7644
336,6952.405
337,6730.7515
338,6773.313
339,6891.0361
340,6385.1374
341,7088.4844
342,6451.9739
343,6537.4736
344,6151.1506
345,6344.8352
346,6240.4092
347,5854.1133
348,5470.114
349,5862.4597
350,5381.1492
351,5660.6584
352,5603.625
353,5450.1506
354,4987.9026
355,4759.1162
356,5126.8213
357,4608.3379
358,5021.8892
359,5167.7895
360,4937.3728
361,4244.6638
362,4420.9407
363,4500.332
364,4816.8027
365,4585.1426
366,5000.0466
367,4450.5273
368,4718.6999
369,4265.0276
370,4715.3547
371,4571.5669
372,4211.6641
373,4528.1042
374,4210.4477
375,4120.1748
376,4164.7256
377,3854.3896
378,3814.3318
379,3549.7666
380,3356.3618
381,3166.2417
382,3286.8247
383,3262.8557
384,3655.678
385,3480.8088
386,3545.2722
387,3295.4004
388,3178.2236
389,3195.8408
390,3088.918
391,3106.0825
392,3014.9812
393,2727.3828
394,3107.1501
395,3125.6413
396,2645.3794
397,2833.9475
398,2910.0505
399,2671.1838
400,2615.8516
401,2584.604
402,2666.5671
403,2669.7036
404,2453.4726
405,2485.7954
406,2493.8122
407,2353.6445
408,2408.4912
409,2305.9114
410,2166.0178
411,2222.1807
412,2488.4932
413,2585.2576
414,2470.1946
415,2228.9578
416,2181.6555
417,2511.4643
418,2180.9233
419,1923.3821
420,2422.8418
421,2252.0207
422,1943.7253
423,2131.5183
424,2278.2234
425,1954.1792
426,1946.5945
427,2188.5505
428,1808.708
429,1894.7878
430,2087.7993
431,1903.9482
432,2072.0359
433,1670.7112
434,1966.1081
435,2212.4514
436,2147.6785
437,1875.8225
438,1812.0342
439,2024.5559
440,1826.1267
441,1975.6184
442,1914.4092
443,2011.5102
444,1768.2808
445,1772.8181
446,1804.5168
447,1927.2871
448,1739.8586
449,1836.8127
450,1783.2969
