Wavelength	I1	I1 dark	R1	R1dark	XCorrect	I1c	R1c	I1c/R1c	Abs	Percent T
nm	uA	uA	uA	uA		uA	uA	uA/uA	OD	T*100
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp	Dark subtracted Abs Detector	Corrected Ref Detector	Corrected Intensity 	-Log(T)	% Transmittance
600	2.69417225363892	0.00155535627029725	1.58863122412089	0.00335460825437977	0.717130899429321	2.69261689736862	1.13685084538062	2.36848739507874	4.99773199015732E-4	99.8849891564315
595	2.82078803560369		1.66418268988346		0.719892263412476	2.81923267933339	1.19561728682296	2.35797249705612	4.59862427859796E-4	99.8941688036314
590	2.96056555945923		1.74763759189374		0.723316371440887	2.95901020318893	1.26166843849211	2.3453152293525	5.30298700841442E-4	99.8779687304449
585	3.08202631703053		1.82064404423874		0.726323843002319	3.08047096076024	1.31994064699168	2.3337950594832	5.34965204996788E-4	99.8768955451489
580	3.18037102855163		1.87996236431421		0.72833788394928	3.17881567228133	1.36680452205143	2.32572809132229	5.5019932280673E-4	99.8733921395778
575	3.28669930815606		1.94383440629532		0.73105776309967	3.28514395188576	1.41860282049591	2.31576020040433	5.38504820906432E-4	99.8760815251175
570	3.40341895124436		2.01386151783191		0.73466420173645	3.40186359497406	1.4770474538104	2.30315118596775	5.91793920521344E-4	99.8638272134419
565	3.52348766170209		2.08677572896634		0.738382756710052	3.52193230543179	1.53836223049925	2.28940377994643	6.11115902495073E-4	99.8593843199063
560	3.66090212526434		2.16828596911916		0.742404222488403	3.65934676899404	1.60725418370358	2.27676916700372	5.39049325325039E-4	99.8759563037852
555	3.81442896425048		2.25929187329653		0.747231364250183	3.81287360798018	1.68570708022028	2.26188384252497	5.5864664173255E-4	99.8714495540145
550	3.97025025146965		2.35165959387472		0.752462446689606	3.96869489519935	1.76701131505328	2.24599291548945	6.32997731182134E-4	99.8543530542918
545	4.14707745535292		2.45568448969929		0.757837355136871	4.14552209908263	1.85846719127733	2.23061354999407	6.11823071698959E-4	99.8592217172789
540	4.31931563825844		2.55657696244067		0.763391971588135	4.31776028198815	1.94910944686517	2.21524773220538	6.77801367769898E-4	99.8440521926176
535	4.50784389434106		2.66622637240293		0.769757688045502	4.50628853807076	2.04976601273263	2.19844046104718	6.53223291275913E-4	99.8497028381931
530	4.73995606138234		2.80094710306578		0.776710212230682	4.73840070511204	2.17291866037993	2.18066179443806	6.78664388384706E-4	99.8438537848706
525	4.98422844810158		2.94209658492365		0.783903956413269	4.98267309183129	2.30369146238879	2.16290817289593	7.76112109000128E-4	99.8214531675733
520	5.24152805522776		3.08947638902225		0.791250944137573	5.23997269895747	2.44189677275611	2.14586167499752	7.98266827999888E-4	99.8163610931169
515	5.54258345929824		3.26159687417433		0.799825251102448	5.54102810302794	2.60602443849203	2.12623796660719	8.77045902304329E-4	99.7982564942752
510	5.83634647570255		3.42762352634295		0.809457659721375	5.83479111943225	2.77180070469262	2.10505434591817	9.36279463361024E-4	99.7846459068633
505	6.2250356831338		3.64706603156962		0.818737685680389	6.2234803268635	2.98324385801232	2.08614535823099	9.51726481922014E-4	99.7810968222442
500	6.66362816673283		3.89360737457863		0.828416645526886	6.66207281046253	3.22275014693003	2.06720115017566	0.00104565936855008	99.7595176557737
495	7.53830479897998		4.39157935745211		0.838614106178284	7.53674944270969	3.68002717575788	2.04801461585879	0.00110431891817445	99.7460441868775
490	8.22924324836757		4.77757241255039		0.848338663578033	8.22768789209727	4.05015355172693	2.03145085415073	0.00118025964606331	99.7286041196186
485	9.03960203907485		5.22740124498148		0.855348587036133	9.03804668280455	4.46838090933538	2.02266701657466	0.00124021931859115	99.7148363147585
480	10.0607657996429		5.79414694950398		0.866066455841064	10.0592104433726	5.01521099949762	2.00574022596063	0.00132486617299875	99.6954031304152
475	11.5519272829423		6.6303593533892		0.879869520664215	11.550371926672	5.83089948854126	1.98089024675705	0.00146784990417328	99.662585595312
470	14.313723541438		8.16655457186025		0.895019471645355	14.3121681851677	7.3062229183619	1.95890111006585	0.00153542245348263	99.6470801459566
465	15.0678575179168		8.55225306153001		0.910354375839233	15.0663021616465	7.78252711554472	1.93591386678927	0.00166154073824693	99.6181470262248
460	13.9103930742996		7.87875184840087		0.922647356987	13.9088377180293	7.26621444884387	1.91417935927316	0.00179685843781469	99.587112787471
455	12.3704193646327		7.03405695919798		0.929956316947937	12.3688640083624	6.53824606384071	1.89177095624582	0.00200430105076169	99.5395559367585
450	10.9839583887275		6.3170887784691		0.932973027229309	10.9824030324572	5.89054368190635	1.86441245927624	0.00215061289176995	99.506027160035
445	8.74722421309469		5.10107070471478		0.935176968574524	8.74566885682439	4.7672666857414	1.83452477768491	0.00228856462295977	99.4744245278392
440	7.86987638945196		4.63116443706119		0.939942717552185	7.86832103318167	4.34987614680338	1.80886093480245	0.00243429765605969	99.4410502203112
435	7.73420410972065		4.55108464245929		0.948230147361755	7.73264875345035	4.31229472049561	1.79316332826195	0.00260450657590327	99.402084868207
430	8.2497945178167		4.82438941065433		0.960858643054962	8.2482391615464	4.63233295835477	1.78057994442521	0.00287428740479221	99.3403561323163
425	8.71093809507562		5.08635181073063		0.977734744548798	8.70938273880533	4.96982297130537	1.75245331455292	0.00320259009452116	99.2652886757888
420	8.20558100236837		4.84268838274918		0.992123365402222	8.20402564609807	4.80121611065642	1.70873908964211	0.00351564919479224	99.1937595509932
415	6.98457776994257		4.19883195221644		0.999114215373993	6.98302241367227	4.19176105463201	1.66589228790984	0.00380534945579697	99.1276134752402
