Long Name	Sample - Blank	S1c/R1c
nm	nm	
		Z of Sample - Blank
600	211.124	10.4658456000351
600	212.698	-23.5876016241303
600	214.273	-22.6254231282156
600	215.848	16.7277067828234
600	217.424	-4.43460948093105
600	219.001	4.36178051345185
600	220.579	-4.38201078219608
600	222.157	67.5857358110402
600	223.736	-61.5747299606803
600	225.315	89.5726647432486
600	226.896	-32.5862943059554
600	228.477	-22.6092389132202
600	230.058	-0.877211367188984
600	231.641	-23.5552331941395
600	233.224	46.5083866760115
600	234.808	-34.2112433203704
600	236.392	-12.4873078818368
600	237.977	-34.2152893741192
600	239.563	-12.3416499468784
600	241.15	67.5574134347983
600	242.737	-13.0812954866067
600	244.325	-47.4058283119447
600	245.913	-11.4927609559314
600	247.503	-38.734865983776
600	249.093	12.3092815168877
600	250.683	-19.1257988059072
600	252.274	66.1974189809188
600	253.866	-56.5736037754308
600	255.459	-55.6889288484625
600	257.052	-14.1481484048192
600	258.646	35.5114736265183
600	260.241	79.0021818905841
600	261.836	4.62298683454707
600	263.432	18.087310162258
600	265.028	-2.7564707719639
600	266.625	62.6479485201782
600	268.223	-8.48084789469922
600	269.822	-37.2577144705602
600	271.421	46.7047310409038
600	273.021	-21.6778284656931
600	274.621	0.885135410388215
600	276.222	41.8930717072057
600	277.824	0.894926747839646
600	279.426	-11.3265788685163
600	281.029	13.8851239809185
600	282.633	19.3612041095317
600	284.237	9.59044121695512
600	285.842	-23.3247128552114
600	287.448	8.6961293359956
600	289.054	9.43973281330605
600	290.661	-27.0586145772406
600	292.268	12.6080231347215
600	293.876	14.2796546263317
600	295.485	-43.7490889746813
600	297.094	-137.281963714557
600	298.704	-110.882023057249
600	300.315	-128.505322280603
600	301.926	-137.634257562352
600	303.538	-46.0601625110919
600	305.15	-42.0092390730657
600	306.763	-25.1609153528229
600	308.377	0.0426741599554852
600	309.991	-3.31528150538641
600	311.606	34.5409734408671
600	313.221	27.1350266043558
600	314.837	36.3092705022958
600	316.454	-6.75540974870303
600	318.071	-63.2232523612078
