#	
# Fluorescence Model	
#	
name	samples
creator	aqua-cb-urbw23
email	
doi	
reference	
unit	applied by toolbox (RU)
toolbox	2.0.0
date	29-Jul-2025
fluorometer	
nSample	89
constraints	nonnegativity
validation	validated
methods	
preprocess	
sources	
ecozones	
description	
#	
# Excitation/Emission (Ex, Em), wavelength (nm), component[n] (intensity)	
#	
Em	391	0.26935321	0.00032984	0.05416724	0.12363568	0.21417829	
Em	394	0.27450550	0.00117500	0.06770371	0.11292968	0.23215703	
Em	397	0.27551466	0.00140250	0.07249630	0.10210629	0.24547063	
Em	400	0.26763824	0.00049913	0.08683186	0.09196994	0.25430441	
Em	403	0.26108439	0.00232560	0.09942329	0.08309816	0.26060002	
Em	406	0.25262569	0.00246946	0.12263575	0.07447844	0.26377881	
Em	409	0.23708486	0.00061825	0.12297470	0.06634894	0.26210262	
Em	412	0.22231462	0.00001526	0.13576069	0.05877664	0.25701536	
Em	415	0.20367525	0.00000393	0.13471931	0.05221798	0.24939505	
Em	418	0.18784117	-0.00000144	0.14170446	0.04598525	0.23850297	
Em	421	0.17232327	0.00000067	0.15276139	0.04046647	0.22672088	
Em	424	0.15770967	-0.00000085	0.16007295	0.03560664	0.21410350	
Em	427	0.14343247	0.00000232	0.16280517	0.03119286	0.20033678	
Em	430	0.12947601	-0.00000667	0.16921304	0.02750913	0.18675618	
Em	433	0.11906380	0.00001709	0.18484345	0.02440128	0.17395614	
Em	436	0.10638666	-0.00003460	0.18892469	0.02161547	0.16197880	
Em	439	0.09365927	0.00003022	0.18987360	0.01908124	0.14943949	
Em	442	0.08664826	0.00105877	0.19519264	0.01668440	0.13643096	
Em	445	0.07788103	0.00010614	0.19381368	0.01476238	0.12463171	
Em	448	0.06907188	0.00059292	0.18629110	0.01278974	0.11259233	
Em	451	0.05967999	0.00137925	0.19419234	0.01144215	0.10166688	
Em	454	0.05385729	0.00041797	0.19230753	0.01007959	0.09181192	
Em	457	0.04965453	0.00026898	0.18706297	0.00892200	0.08272620	
