Long Name	Sample - Blank	S1c/R1c
nm	nm	
		Z of Sample - Blank
600	211.124	-17.3594929484162
600	212.698	-1.71329541724634
600	214.273	-7.76124771820309
600	215.848	-42.4042238941567
600	217.424	-56.2834720874598
600	219.001	-44.9838545334715
600	220.579	26.8832188444344
600	222.157	-10.3796284112994
600	223.736	-19.9152774007887
600	225.315	-12.1197507888559
600	226.896	21.6449670715579
600	228.477	-61.4561468462446
600	230.058	12.99204755766
600	231.641	22.5053407468909
600	233.224	13.0024802644473
600	234.808	28.5756488481061
600	236.392	-103.836524553459
600	237.977	9.51031241586303
600	239.563	-22.4844753333163
600	241.15	42.369945000427
600	242.737	7.7999977719845
600	244.325	-15.6223513442275
600	245.913	16.5170039132901
600	247.503	7.852161305921
600	249.093	-60.5719269839693
600	250.683	13.8035189598817
600	252.274	-15.6931676119766
600	253.866	-29.6062023991657
600	255.459	-15.4402616816997
600	257.052	7.0173491444841
600	258.646	-20.6001706181279
600	260.241	-28.3248283404821
600	261.836	-24.2005340976342
600	263.432	-58.2495303240153
600	265.028	34.8472529166207
600	266.625	-19.6806994613313
600	268.223	-15.7531786570888
600	269.822	0.0394403643247792
600	271.421	9.95080775731227
600	273.021	-8.91437371205967
600	274.621	-9.80254196321332
600	276.222	7.89117447554615
600	277.824	6.16491767480043
600	279.426	-54.6804667271404
600	281.029	1.70577157458302
600	282.633	6.93391468735976
600	284.237	29.9776907944992
600	285.842	0.837097792123935
600	287.448	-32.8829968686014
600	289.054	-9.20756906346865
600	290.661	-16.6530906486574
600	292.268	25.0011546976883
600	293.876	-34.8975033406838
600	295.485	-64.7130411945123
600	297.094	-97.7861860852737
600	298.704	-95.0971682027394
600	300.315	-126.605537098896
600	301.926	-31.0612485383063
600	303.538	-32.0584665532091
600	305.15	59.8578827057622
600	306.763	15.7537715384122
600	308.377	-4.96399177990111
600	309.991	16.6466589760962
600	311.606	5.0125346830658
600	313.221	36.6167512953829
600	314.837	15.9194481634843
600	316.454	-87.3714363714959
600	318.071	-12.487854882685
