Wavelength	I1	I1 dark	R1	R1dark	XCorrect	I1c	R1c	I1c/R1c	Abs	Percent T
nm	uA	uA	uA	uA		uA	uA	uA/uA	OD	T*100
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp	Dark subtracted Abs Detector	Corrected Ref Detector	Corrected Intensity 	-Log(T)	% Transmittance
600	2.6876176809112	0.0015535141320142	1.58730590186056	0.00335599086183426	0.717130899429321	2.68606416677919	1.13589942432551	2.36470246331373	0.00119434720913395	99.7253691943022
595	2.81510725681779		1.66356763861638		0.719892263412476	2.81355374268578	1.19517352084578	2.35409645010771	0.00117434525900614	99.7299622708416
590	2.95208044718844		1.74548341709766		0.723316371440887	2.95052693305643	1.26010928853255	2.34148494889078	0.00124015189523749	99.7148517952895
585	3.07329681022948		1.81827915777358		0.726323843002319	3.07174329609746	1.31822196934528	2.33021704047544	0.00120130747973857	99.7237709469781
580	3.17048092361068		1.87700004376941		0.72833788394928	3.16892740947867	1.36464594476886	2.32216086643296	0.00121683589842814	99.7202053368937
575	3.27714026034269		1.94140260088512		0.73105776309967	3.27558674621068	1.41682401950652	2.31192208849732	0.0012588961962347	99.7105481604537
570	3.39470889634752		2.01200061451904		0.73466420173645	3.39315538221551	1.47567929901133	2.29938536407527	0.00130247856796092	99.700542497667
565	3.51501157286877		2.08501877828977		0.738382756710052	3.51345805873676	1.53706390752177	2.28582431839256	0.00129066266378658	99.7032550996714
560	3.65001606451682		2.16578257191237		0.742404222488403	3.6484625503848	1.60539462459308	2.27262661435009	0.00132996237934831	99.6942332666783
555	3.80146891425344		2.25570285719759		0.747231364250183	3.79991540012142	1.68302422169669	2.25779008473844	0.00134538344255108	99.6906933557619
550	3.96081122684916		2.35024677771825		0.752462446689606	3.95925771271715	1.76594718359127	2.24200233704923	0.00140531880346627	99.6769363644564
545	4.13375115169524		2.45229883053313		0.757837355136871	4.13219763756322	1.85590036449787	2.22651911525499	0.00140973107553627	99.6759236886188
540	4.30767240100028		2.55407777421824		0.763391971588135	4.30611888686827	1.94720053116925	2.21144089575743	0.00142476534439675	99.672473198778
535	4.4957061380419		2.66386747959009		0.769757688045502	4.49415262390989	2.04794917258195	2.19446492328903	0.00143928828984024	99.6691401753389
530	4.72481566471432		2.79697909404843		0.776710212230682	4.7232621505823	2.1698355933686	2.17678342313926	0.00145175761825693	99.6662785469916
525	4.96710108855088		2.9371460661446		0.783903956413269	4.96554757441887	2.29980964730014	2.15911242056409	0.00153893805143218	99.6462735097516
520	5.22550640856327		3.08547094348161		0.791250944137573	5.22395289443125	2.43872636620093	2.14208242746363	0.00156381168375791	99.6405665668906
515	5.52642444569094		3.25773208293001		0.799825251102448	5.52487093155892	2.60293217502023	2.12255662463275	0.00162962966282656	99.6254670340275
510	5.82536792594173		3.42709272312242		0.809457659721375	5.82381441180971	2.77136992279776	2.10142080416693	0.00168656442571283	99.6124072766644
505	6.21041734823127		3.6449232251817		0.818737685680389	6.20886383409926	2.98148832967658	2.08247128533043	0.00171727061150884	99.6053645692752
500	6.65016178983351		3.89223499421302		0.828416645526886	6.6486082757015	3.22161209881613	2.06375195764404	0.00177089908564127	99.5930656473527
495	7.52395967696699		4.39030569046502		0.838614106178284	7.52240616283498	3.67895790118181	2.04471112877332	0.00180540988461012	99.5851518933134
490	8.21100953750292		4.77456429000381		0.848338663578033	8.20945602337091	4.04760047214653	2.02822785496348	0.0018698369040546	99.5703796617803
485	9.01962349911561		5.22430230578487		0.855348587036133	9.0180699849836	4.46572905346093	2.01939479019548	0.00194338034798472	99.5535198374984
480	10.0332353261201		5.78757343878806		0.866066455841064	10.0316818119881	5.00951670493951	2.00252487472426	0.00202163126402324	99.5355839606308
475	11.5112896268547		6.61704314250491		0.879869520664215	11.5097361127227	5.81918174393927	1.9778959687434	0.00212481827568968	99.5119374262276
470	14.2729016910152		8.15536749182682		0.895019471645355	14.2713481768832	7.29620902644054	1.95599497289148	0.00218020052348429	99.4992482403839
465	15.0306269223625		8.54340925785441		0.910354375839233	15.0290734082304	7.77447486150683	1.9331303626233	0.00228642928255698	99.4749136251885
460	13.8784808722787		7.87208557401345		0.922647356987	13.8769273581467	7.26006255274025	1.91140603229499	0.00242653504457951	99.4428276528344
455	12.3376723139823		7.02538929321699		0.929956316947937	12.3361187998503	6.53018422734396	1.889092002672	0.00261974517647201	99.3985970916969
450	10.9562820509474		6.3101470450984		0.932973027229309	10.9547285368154	5.88406594197381	1.86176168738528	0.00276852056538961	99.3645521454988
