,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455
290,16158.601,7947.0566,3910,3723.2168,5888.8828,64226.131,195933.79,60405.623,8798.1201,13365.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,17425.939,8521.4551,4798.5293,3596.3535,5414.3789,14408.16,155978.43,201057.47,24758.238,10991.833,16528.993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,16819.285,10268.127,5564.7148,4343.7226,4416.2812,7643.3555,49735.612,271193.87,145325.11,12507.071,13416.008,20817.586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,23349.209,14008.23,6954.6758,4084.0488,4974.2871,6322.5723,12248.664,140899.38,326425.6,76270.865,10891.633,16922.068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,25198.318,9544.8808,5911.3828,6368.6094,4977.875,5268.8691,8555.7305,31357.557,283301.83,284390.67,39576.295,12658.682,20515.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,25510.203,11858.965,7691.25,5130.1816,5385.1328,5282.3965,7464.8769,13149.357,92886.504,402011.46,196649.07,19653.67,15117.69,26161.116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,24578.432,12304.574,9727.7598,5168.248,5215.8437,5839.0312,6215.7119,8881.2607,18637.845,215287.89,404129.16,107442.73,12855.654,18406.042,29883.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,27360.631,15049.56,9196.5371,6670.1875,5448.5391,6217.2715,6229.5264,7808.7148,12115.878,45382.477,356323.44,324965.2,48567.203,11703.555,21670.427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,33303.246,17364.627,11309.502,7825.6328,6282.7969,6364.1777,7356.2314,7272.8115,9642.457,14745.217,143653.37,445547.68,209058.08,14088.575,13964.58,24881.358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
