,220,225,230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,505,510,515,520,525,530,535,540,545,550
275,98.81,80.18,27.75,3.899,6.671,-10.84,-43.61,-18.67,5.197,67.77,625.2,0,0,-13.17,1.1,1.586,0.123,1.101,0.674,0.409,0.662,0.288,0.338,0.483,0.182,0.331,0.291,0.285,0.457,0.286,0.259,0.394,0.381,0.343,0.241,0.265,0.402,0.217,0.313,0.329,0.29,0.278,0.136,0.338,0.224,0.244,0.17,0.216,0.039,0.066,0.108,0.115,0.121,0.009,0.008,0.014,-0.014,-0.286,0.117,0.212,0.559,0.94,2.055,3.081,4.547,13.79,20.47
280,134.5,109.3,51.73,11.64,2.085,5.529,0.681,-22.99,7.935,45.26,185.4,1431,0,0,0.491,1.578,0.866,0.605,1.188,0.753,0.389,0.294,0.481,0.497,0.344,0.489,0.331,0.369,0.399,0.404,0.309,0.289,0.355,0.224,0.251,0.423,0.487,0.314,0.254,0.39,0.347,0.281,0.314,0.306,0.391,0.322,0.21,0.202,0.093,0.064,0.061,0.108,0.01,0.075,0.132,0.011,0.07,-0.233,-0.143,0.074,0.171,0.419,0.653,0.799,1.3,3.681,10.04
285,197.2,180.2,91.01,33.43,11.11,11.55,17.71,9.49,14.01,77.53,143,465.8,0,0,-325.5,2.102,1.711,0.869,1.617,0.724,0.699,0.478,0.498,0.395,0.406,0.722,0.497,0.437,0.283,0.432,0.264,0.29,0.458,0.3,0.337,0.416,0.617,0.416,0.288,0.446,0.394,0.424,0.324,0.429,0.383,0.428,0.228,0.314,0.283,0.177,0.162,0.1,0.175,0.109,0.157,0.174,0.199,0.006,0.333,-0.15,0.195,0.413,0.466,0.762,0.803,1.429,2.858
290,305.3,312.2,201.3,87.91,41.93,31.18,43.02,64.83,89.01,170.2,236.1,388.6,333.8,1196,0,137.7,-323.7,1.156,1.953,0.702,0.785,0.783,0.702,0.686,0.506,0.597,0.559,0.457,0.421,0.338,0.495,0.369,0.322,0.558,0.531,0.66,0.695,0.563,0.473,0.376,0.561,0.528,0.509,0.614,0.623,0.722,0.585,0.558,0.455,0.26,0.314,0.177,0.2,0.275,0.264,0.304,0.253,0.304,0.545,0.363,0.499,0.637,1.148,1.425,1.64,1.942,2.181
295,394.7,419.9,327.1,158.5,75.15,61.07,72.59,117,199.3,302,443.3,552.7,491.9,484.3,985.6,0,-175.2,1.196,1.711,1.047,0.922,0.75,0.48,0.848,0.432,0.452,0.434,0.367,0.402,0.408,0.418,0.368,0.417,0.401,0.896,0.997,0.924,0.755,0.592,0.588,0.64,0.621,0.616,0.737,0.833,0.868,0.824,0.87,0.602,0.532,0.453,0.371,0.27,0.345,0.278,0.374,0.504,0.542,0.764,0.81,1.055,1.482,1.611,2.23,2.414,2.93,2.916
300,436.5,485.9,403.5,178.8,90.93,81.78,93.37,154.3,253,402.4,562.5,658,608.1,371.9,298.6,1670,0,-90.46,2.117,1.754,1.378,1.049,0.521,0.845,0.321,0.804,0.447,0.351,0.511,0.522,0.492,0.318,0.341,0.792,0.822,1.025,1.186,1.123,0.702,0.733,0.611,0.682,0.746,0.868,0.822,0.999,1.068,0.947,0.667,0.73,0.403,0.448,0.342,0.36,0.426,0.332,0.584,0.804,0.831,1.195,1.566,1.921,2.247,2.835,2.981,3.402,3.655
305,443.2,503.2,438,205.4,110.1,85.8,118.1,171.2,278.8,441.1,650.5,726.9,668.4,371,145.9,441.1,2358,0,12.65,0.228,2.313,0.806,0.638,0.902,0.591,0.563,0.551,0.503,0.648,0.478,0.405,0.508,0.381,0.65,1.012,1.096,1.088,1.028,0.845,0.71,0.51,0.91,0.836,1.053,0.954,0.937,1.195,1.11,0.889,0.608,0.54,0.602,0.436,0.546,0.495,0.522,0.695,0.74,1.063,1.348,1.646,2.086,2.435,3.094,3.63,3.954,3.906
310,445.1,507.2,428.4,230.3,115.3,101.5,125.8,177.9,281.6,447.3,650.4,750.9,662.9,370.5,115.9,120.3,614.8,1636,982.8,46.84,1.38,1.51,1.17,1.434,0.746,0.904,0.759,0.552,0.509,0.445,0.322,0.393,0.281,0.623,0.788,1.013,1.089,1.021,0.663,0.72,0.554,0.703,0.754,0.879,0.974,1.049,1.133,1.175,0.906,0.648,0.514,0.572,0.484,0.587,0.485,0.506,0.743,0.867,1.03,1.276,1.778,2.152,2.479,3.135,3.863,4.06,4.045
315,385.5,447.6,385.9,218.1,124.5,98.54,128.6,179.3,263.8,422.1,597.3,692.3,624.5,334.4,102.2,53.07,150.3,373.2,1036,1795,240.2,0.651,1.254,1.533,0.823,0.683,0.623,0.411,0.702,0.473,0.787,0.432,0.446,0.406,0.791,1.007,1.158,0.919,0.677,0.648,0.691,0.595,0.686,0.764,0.819,0.911,1.023,0.896,0.838,0.767,0.567,0.616,0.375,0.521,0.48,0.629,0.653,0.958,0.865,1.171,1.563,2.111,2.605,2.993,3.586,4.032,3.742
320,328.2,411.1,355.2,198.8,116.2,100.3,114.6,167.2,244.1,385.7,533.8,635.5,569.4,317,102.1,38.73,51.08,93.54,246.8,1547,2112,360.4,1.588,1.631,1.449,1.224,0.753,0.58,0.844,0.734,0.703,0.538,0.479,0.528,0.791,0.949,1.06,0.78,0.623,0.55,0.554,0.46,0.609,0.751,0.799,0.968,0.885,0.839,0.88,0.632,0.523,0.498,0.374,0.564,0.494,0.5,0.558,0.957,0.923,1.216,1.26,2.019,2.287,2.742,3.494,3.798,3.613
